Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2018-01-01T00:00:00Z,512,1899-12-31T00:11:00Z,Monday,St Clair station,Mechanical,10,20,W/B,4441
2018-01-01T00:00:00Z,501,1899-12-31T00:14:00Z,Monday,Queen and Neville loop,Mechanical,12,24,E/B,4091
2018-01-01T00:00:00Z,501,1899-12-31T01:51:00Z,Monday,Lakeshore and Long branch,Mechanical,8,16,W/B,8039
2018-01-01T00:00:00Z,301,1899-12-31T03:14:00Z,Monday,Queen and Roncy,Mechanical,12,24,W/B,4024
2018-01-01T00:00:00Z,505,1899-12-31T03:27:00Z,Monday,Dundas West Station,Mechanical,42,53,E/B,4004
2018-01-01T00:00:00Z,501,1899-12-31T05:50:00Z,Monday,Lakeshore and Longbranch,Mechanical,7,14,W/B,1409
2018-01-01T00:00:00Z,504,1899-12-31T05:53:00Z,Monday,LAKESHORE/QUEEN,Mechanical,9,16,N/B,4450
2018-01-01T00:00:00Z,504,1899-12-31T06:24:00Z,Monday,Roncy Yard,Mechanical,9,17,N/B,4199
2018-01-01T00:00:00Z,501,1899-12-31T07:18:00Z,Monday,Queen and Spadina,Mechanical,80,16,W/B,4229
2018-01-01T00:00:00Z,501,1899-12-31T07:28:00Z,Monday,Queen and Roncy,Mechanical,8,16,W/B,4208
2018-01-01T00:00:00Z,505,1899-12-31T08:13:00Z,Monday,DWS,Mechanical,7,14,E/B,4184
2018-01-01T00:00:00Z,501,1899-12-31T09:09:00Z,Monday,Roncy yard,Mechanical,14,21,E/B,4153
2018-01-01T00:00:00Z,504,1899-12-31T09:16:00Z,Monday,Roncy car House,Mechanical,6,9,N/B,4077
2018-01-01T00:00:00Z,504,1899-12-31T09:54:00Z,Monday,Roncy Yard,Mechanical,7,13,N/B,4197
2018-01-01T00:00:00Z,514,1899-12-31T10:32:00Z,Monday,EXHIBITION LOOP,Mechanical,14,28,E/B,4415
2018-01-01T00:00:00Z,505,1899-12-31T11:14:00Z,Monday,DWS,Mechanical,26,32,E/B,4117
2018-01-01T00:00:00Z,501,1899-12-31T11:46:00Z,Monday,Russell Yard,Mechanical,19,27,W/B,4024
2018-01-01T00:00:00Z,505,1899-12-31T13:23:00Z,Monday,DWS,Mechanical,6,12,E/B,4103
2018-01-01T00:00:00Z,506,1899-12-31T13:55:00Z,Monday,main station,Mechanical,6,12,W/B,4135
2018-01-01T00:00:00Z,501,1899-12-31T14:09:00Z,Monday,Parliament and queen,Mechanical,6,12,W/B,4246
2018-01-01T00:00:00Z,511,1899-12-31T14:18:00Z,Monday,King,Mechanical,0,0,S/B,1701
2018-01-01T00:00:00Z,504,1899-12-31T15:08:00Z,Monday,Dundas W. Stn,Mechanical,7,13,S/B,4094
2018-01-01T00:00:00Z,501,1899-12-31T17:15:00Z,Monday,Kipling and Burnhamthorpe,Mechanical,6,12,W/B,1409
2018-01-01T00:00:00Z,512,1899-12-31T17:31:00Z,Monday,St Clair west station,Mechanical,1,1,W/B,4454
